MU,1716208,Paranã (TO),10449,TO
MU,1716307,Pau D'Arco (TO),4849,TO
MU,1716505,Pedro Afonso (TO),13578,TO
MU,1716604,Peixe (TO),11749,TO
MU,1716653,Pequizeiro (TO),5477,TO
MU,1716703,Colméia (TO),8205,TO
MU,1717008,Pindorama do Tocantins (TO),4447,TO
MU,1717206,Piraquê (TO),3028,TO
MU,1717503,Pium (TO),7654,TO
MU,1717800,Ponte Alta do Bom Jesus (TO),4596,TO
MU,1717909,Ponte Alta do Tocantins (TO),8039,TO
MU,1718006,Porto Alegre do Tocantins (TO),3139,TO
MU,1718204,Porto Nacional (TO),53010,TO
MU,1718303,Praia Norte (TO),8432,TO
MU,1718402,Presidente Kennedy (TO),3684,TO
MU,1718451,Pugmil (TO),2688,TO
MU,1718501,Recursolândia (TO),4293,TO
MU,1718550,Riachinho (TO),4645,TO
MU,1718659,Rio da Conceição (TO),2130,TO
MU,1718709,Rio dos Bois (TO),2834,TO
MU,1718758,Rio Sono (TO),6478,TO
MU,1718808,Sampaio (TO),4711,TO
MU,1718840,Sandolândia (TO),3375,TO
MU,1718865,Santa Fé do Araguaia (TO),7512,TO
MU,1718881,Santa Maria do Tocantins (TO),3434,TO
MU,1718899,Santa Rita do Tocantins (TO),2365,TO
MU,1718907,Santa Rosa do Tocantins (TO),4829,TO
MU,1719004,Santa Tereza do Tocantins (TO),2866,TO
MU,1720002,Santa Terezinha do Tocantins (TO),2529,TO
MU,1720101,São Bento do Tocantins (TO),5324,TO
MU,1720150,São Félix do Tocantins (TO),1585,TO
MU,1720200,São Miguel do Tocantins (TO),12139,TO
MU,1720259,São Salvador do Tocantins (TO),3082,TO
MU,1720309,São Sebastião do Tocantins (TO),4805,TO
MU,1720499,São Valério (TO),3960,TO
MU,1720655,Silvanópolis (TO),5403,TO
MU,1720804,Sítio Novo do Tocantins (TO),9029,TO
MU,1720853,Sucupira (TO),1966,TO
MU,1720903,Taguatinga (TO),16683,TO
MU,1720937,Taipas do Tocantins (TO),2148,TO
MU,1720978,Talismã (TO),2793,TO
MU,1721000,Palmas (TO),299127,TO
MU,1721109,Tocantínia (TO),7545,TO
MU,1721208,Tocantinópolis (TO),22870,TO
MU,1721257,Tupirama (TO),1891,TO
MU,1721307,Tupiratins (TO),2671,TO
MU,1722081,Wanderlândia (TO),11683,TO
MU,1722107,Xambioá (TO),11540,TO
MU,2100055,Açailândia (MA),112445,MA
MU,2100105,Afonso Cunha (MA),6524,MA
MU,2100154,Água Doce do Maranhão (MA),12571,MA
MU,2100204,Alcântara (MA),22097,MA
MU,2100303,Aldeias Altas (MA),26532,MA
